ProductCode,Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,ProductImage
1,Apples,Fresh,1.5193,per pound,0.9,0.2425,pounds,0.4094,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
2,"Apples, applesauce",Canned,1.066,per pound,1,0.5401,pounds,0.5758,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
3,"Apples, ready-to-drink",Juice,0.7804,per pint,1,8,fluid ounces,0.3902,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
4,"Apples, frozen concentrate",Juice,0.5853,per pint,1,8,fluid ounces,0.2926,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
5,Apricots,Fresh,2.9665,per pound,0.93,0.3638,pounds,1.1603,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
6,"Apricots, packed in juice",Canned,1.6905,per pound,1,0.5401,pounds,0.9131,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
7,"Apricots, packed in syrup or water",Canned,2.06,per pound,0.65,0.4409,pounds,1.3974,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
8,Apricots,Dried,6.6188,per pound,1,0.1433,pounds,0.9485,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
9,Bananas,Fresh,0.5249,per pound,0.64,0.3307,pounds,0.2712,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
10,"Berries, mixed",Frozen,3.5585,per pound,1,0.3307,pounds,1.1768,https://www.healthyeating.org/images/default-source/home-0.0/nutrition-topics-2.0/general-nutrition-wellness/2-2-2-3foodgroups_fruits_detailfeature.jpg?sfvrsn=64942d53_4
